"","ID","diver","buddy","meters_surveyed","site_code","location_name","latitude","longitude","day","month","year","depth","code","scientific_name","total","juveniles_1_to_4_cm","isolate_1_to_4_cm","X5_to_10_cm","X11_to_20_cm","X21_to_40_cm","X41_to_80_cm","over_80_cm","X0_recent_total_mortality","predation_bites","X","total_small","total_lg","adult","date","event","time_point","survey"
"697",NA,"Leah Harper","",NA,"","CBC Central",NA,NA,25,5,"2022","","aaga","Agaricia agaricites",39,0,1,20,14,4,0,0,"",NA,"",39,0,39,2022-05-25,"CBC Central_May2022","May2022","May2022"
"698",NA,"Leah Harper","",NA,"","CBC Central",NA,NA,25,5,"2022","","aten","Agaricia tenuifolia",17,0,1,1,6,7,2,0,"",NA,"",15,2,17,2022-05-25,"CBC Central_May2022","May2022","May2022"
"699",NA,"Leah Harper","",NA,"","CBC Central",NA,NA,25,5,"2022","","pstr","Pseudodiploria strigosa",1,0,0,0,1,0,0,0,"",NA,"",1,0,1,2022-05-25,"CBC Central_May2022","May2022","May2022"
"700",NA,"Leah Harper","",NA,"","CBC Central",NA,NA,25,5,"2022","","orbi","Orbicella spp.",0,0,0,0,0,0,0,0,"",NA,"",0,0,0,2022-05-25,"CBC Central_May2022","May2022","May2022"
"701",NA,"Leah Harper","",NA,"","CBC Central",NA,NA,25,5,"2022","","mcav","Montastraea cavernosa",1,0,0,1,0,0,0,0,"",NA,"",1,0,1,2022-05-25,"CBC Central_May2022","May2022","May2022"
"702",NA,"Leah Harper","",NA,"","CBC Central",NA,NA,25,5,"2022","","past","Porites astreoides",37,3,1,12,14,6,1,0,"",NA,"",33,1,34,2022-05-25,"CBC Central_May2022","May2022","May2022"
"703",NA,"Leah Harper","",NA,"","CBC Central",NA,NA,25,5,"2022","","ppor","Porites porites",19,0,1,6,6,6,0,0,"",NA,"",19,0,19,2022-05-25,"CBC Central_May2022","May2022","May2022"
"704",NA,"Leah Harper","",NA,"","CBC Central",NA,NA,25,5,"2022","","ssid","Siderastrea siderea",7,0,0,3,3,1,0,0,"",NA,"",7,0,7,2022-05-25,"CBC Central_May2022","May2022","May2022"
"705",NA,"Leah Harper","",NA,"","CBC Central",NA,NA,25,5,"2022","","srad","Siderastrea radians",1,0,0,1,0,0,0,0,"",NA,"",1,0,1,2022-05-25,"CBC Central_May2022","May2022","May2022"
"706",NA,"Viviana Bravo","",NA,"","CBC Central",NA,NA,25,5,"2022","","aaga","Agaricia agaricites",26,2,5,10,8,1,0,0,"",NA,"",24,0,24,2022-05-25,"CBC Central_May2022","May2022","May2022"
"707",NA,"Viviana Bravo","",NA,"","CBC Central",NA,NA,25,5,"2022","","aten","Agaricia tenuifolia",12,1,0,2,5,3,1,0,"",NA,"",10,1,11,2022-05-25,"CBC Central_May2022","May2022","May2022"
"708",NA,"Viviana Bravo","",NA,"","CBC Central",NA,NA,25,5,"2022","","pstr","Pseudodiploria strigosa",4,0,0,0,2,0,2,0,"",NA,"",2,2,4,2022-05-25,"CBC Central_May2022","May2022","May2022"
"709",NA,"Viviana Bravo","",NA,"","CBC Central",NA,NA,25,5,"2022","","dlab","Diploria labyrinthiformis",2,0,0,0,0,0,2,0,"",NA,"",0,2,2,2022-05-25,"CBC Central_May2022","May2022","May2022"
"710",NA,"Viviana Bravo","",NA,"","CBC Central",NA,NA,25,5,"2022","","orbi","Orbicella spp.",3,0,0,0,2,1,0,0,"",NA,"",3,0,3,2022-05-25,"CBC Central_May2022","May2022","May2022"
"711",NA,"Viviana Bravo","",NA,"","CBC Central",NA,NA,25,5,"2022","","past","Porites astreoides",34,1,3,7,13,9,1,0,"",NA,"",32,1,33,2022-05-25,"CBC Central_May2022","May2022","May2022"
"712",NA,"Viviana Bravo","",NA,"","CBC Central",NA,NA,25,5,"2022","","ppor","Porites porites",8,1,0,2,4,1,0,0,"",NA,"",7,0,7,2022-05-25,"CBC Central_May2022","May2022","May2022"
"713",NA,"Viviana Bravo","",NA,"","CBC Central",NA,NA,25,5,"2022","","ssid","Siderastrea siderea",21,0,2,10,6,3,0,0,"",NA,"",21,0,21,2022-05-25,"CBC Central_May2022","May2022","May2022"
"714",NA,"Viviana Bravo","",NA,"","CBC Central",NA,NA,25,5,"2022","","sint","Stephanocoenia intersepta",7,0,1,2,1,3,0,0,"",NA,"",7,0,7,2022-05-25,"CBC Central_May2022","May2022","May2022"
"715",NA,"Sarah Gignoux-Wolfsohn","",NA,"","CBC Lagoon",NA,NA,20,5,"2022","","aaga","Agaricia agaricites",8,1,0,3,2,2,0,0,"",NA,"",7,0,7,2022-05-20,"CBC Lagoon_May2022","May2022","May2022"
"716",NA,"Sarah Gignoux-Wolfsohn","",NA,"","CBC Lagoon",NA,NA,20,5,"2022","","aten","Agaricia tenuifolia",32,0,1,6,12,9,2,2,"",NA,"",28,4,32,2022-05-20,"CBC Lagoon_May2022","May2022","May2022"
"717",NA,"Sarah Gignoux-Wolfsohn","",NA,"","CBC Lagoon",NA,NA,20,5,"2022","","mcav","Montastraea cavernosa",2,0,0,0,0,1,1,0,"",NA,"",1,1,2,2022-05-20,"CBC Lagoon_May2022","May2022","May2022"
"718",NA,"Sarah Gignoux-Wolfsohn","",NA,"","CBC Lagoon",NA,NA,20,5,"2022","","orbi","Orbicella spp.",4,1,0,0,1,1,0,1,"",NA,"",2,1,3,2022-05-20,"CBC Lagoon_May2022","May2022","May2022"
